date,venue,city,country,lat,long,tour,songs
2023-09-03,The Event Center at Hollywood Casino,Ranson,US,39.2951013,-77.8605508,,"['19th Nervous Breakdown', ""Let's Spend the Night Together"", 'The Last Time', 'Under My Thumb', 'Paint It Black', ""Jumpin' Jack Flash"", 'Gimme Shelter', 'Honky Tonk Women', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2023-07-06,Tally Ho Theater,Leesburg,US,39.1156615,-77.5636015,,"['Street Fighting Man', 'Tumbling Dice', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Bitch', 'The Last Time', 'Under My Thumb', ""Can't You Hear Me Knocking"", 'Sympathy for the Devil', 'Gimme Shelter', ""It's All Over Now"", 'Sweet Virginia', 'Wild Horses', 'Dead Flowers', 'Miss You', 'Paint It Black', ""Jumpin' Jack Flash"", 'Happy', 'Honky Tonk Women', 'Brown Sugar', ""(I Can't Get No) Satisfaction""]"
2023-01-13,Daryl’s House Club,Pawling,US,41.5620381,-73.6026271,,"['Start Me Up', 'Street Fighting Man', 'Tumbling Dice', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Dance Little Sister', '19th Nervous Breakdown', 'Under My Thumb', 'The Last Time', 'Get Off of My Cloud', ""Can't You Hear Me Knocking"", 'Sympathy for the Devil', ""It's All Over Now"", ""Mother's Little Helper"", 'Factory Girl', 'Dead Flowers', 'Angie', 'Miss You', 'Beast of Burden', 'Fool to Cry', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Little T&A', 'Happy', ""You Can't Always Get What You Want"", 'Honky Tonk Women', 'Brown Sugar', ""(I Can't Get No) Satisfaction""]"
2022-08-29,Blue Note Jazz Club,New York,US,40.7142691,-74.0059729,Celebrating Charlie Watts,"['Honky Tonk Women', 'Lady Jane', 'Caravan', 'Wild Horses', 'Miss You', 'A Change Is Gonna Come', ""(I Can't Get No) Satisfaction""]"
2022-08-27,Rehoboth Beach Bandstand,Rehoboth Beach,US,38.7209454,-75.0760137,,"[""Can't You Hear Me Knocking"", 'Sympathy for the Devil', 'Under My Thumb', 'The Last Time', 'Dead Flowers', 'Paint It Black', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Little T&A', 'Happy', ""You Can't Always Get What You Want"", 'Honky Tonk Women', ""(I Can't Get No) Satisfaction""]"
2022-08-03,Waldbühne,Berlin,DE,52.5166667,13.4,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', 'All Down the Line', 'Tumbling Dice', 'Rocks Off', 'Out of Time', 'Fool to Cry', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Happy', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-31,Friends Arena,Solna,SE,59.3600363042203,18.0008625984192,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Time', 'Out of Control', 'Angie', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Connection', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-27,Veltins-Arena,Gelsenkirchen,DE,51.5166667,7.05,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Time', 'Wild Horses', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'Slipping Away', 'Connection', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-23,Hippodrome de Longchamp,Paris,FR,48.853,2.349,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', '19th Nervous Breakdown', 'Tumbling Dice', 'Like a Rolling Stone', 'Out of Time', 'Wild Horses', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Happy', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-19,Groupama Stadium,Décines-Charpieu,FR,45.75,4.967,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Time', 'Dead Flowers', 'Angie', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Happy', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Sympathy for the Devil', ""Jumpin' Jack Flash"", ""(I Can't Get No) Satisfaction""]"
2022-07-15,Ernst Happel Stadion,Vienna,AT,48.2084877601653,16.3720750808716,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', ""Let's Spend the Night Together"", 'Tumbling Dice', 'Like a Rolling Stone', 'Out of Time', 'Wild Horses', 'Living in a Ghost Town', 'Paint It Black', 'Honky Tonk Women', 'Slipping Away', 'Happy', 'Miss You', 'Midnight Rambler', 'Sympathy for the Devil', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2022-07-11,Koning Boudewijnstadium / Stade Roi Baudouin,Laken / Laeken,BE,50.53,4.21,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', '19th Nervous Breakdown', 'Tumbling Dice', 'Bitch', 'Out of Time', 'Beast of Burden', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'Slipping Away', 'Connection', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-07,Johan Cruijff ArenA,Amsterdam,NL,52.373,4.9,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', ""Let's Spend the Night Together"", 'Tumbling Dice', 'Out of Time', 'Sweet Virginia', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', ""Can't You Hear Me Knocking"", 'Honky Tonk Women', 'You Got the Silver', 'Happy', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-03,Hyde Park,London,GB,51.5084152563931,-0.125532746315002,Sixty,"['Charlie Watts Tribute', 'Get Off of My Cloud', '19th Nervous Breakdown', 'Tumbling Dice', 'Out of Time', 'Angie', ""You Can't Always Get What You Want"", 'Like a Rolling Stone', 'You Got Me Rocking', 'Honky Tonk Women', 'You Got the Silver', 'Happy', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-07-02,Ludlow Garage Cincinnati,Cincinnati,US,39.1620036,-84.4568863,,"['Street Fighting Man', 'Tumbling Dice', 'Live With Me', 'Bitch', 'Doo Doo Doo Doo Doo (Heartbreaker)', '19th Nervous Breakdown', 'Under My Thumb', 'The Last Time', ""Can't You Hear Me Knocking"", 'Sympathy for the Devil', 'Angie', 'Dead Flowers', ""Mother's Little Helper"", ""It's Only Rock 'n' Roll (but I Like It)"", 'Start Me Up', 'Dance Little Sister', 'Miss You', 'Fool to Cry', 'Paint It Black', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Happy', ""You Can't Always Get What You Want"", 'Honky Tonk Women', 'Brown Sugar', ""(I Can't Get No) Satisfaction""]"
2022-06-25,Hyde Park,London,GB,51.5084152563931,-0.125532746315002,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', '19th Nervous Breakdown', 'Tumbling Dice', 'Out of Time', ""She's a Rainbow"", ""You Can't Always Get What You Want"", 'Living in a Ghost Town', ""Can't You Hear Me Knocking"", 'Honky Tonk Women', 'Slipping Away', 'Connection', 'Miss You', 'Midnight Rambler', 'Paint It Black', 'Start Me Up', 'Gimme Shelter', ""Jumpin' Jack Flash"", 'Sympathy for the Devil', ""(I Can't Get No) Satisfaction""]"
2022-06-21,Stadio Giuseppe Meazza,Milan,IT,45.4642693810258,9.1895055770874,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', '19th Nervous Breakdown', 'Tumbling Dice', 'Out of Time', 'Dead Flowers', 'Wild Horses', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Connection', 'Miss You', 'Midnight Rambler', 'Start Me Up', 'Paint It Black', 'Sympathy for the Devil', ""Jumpin' Jack Flash"", 'Gimme Shelter', ""(I Can't Get No) Satisfaction"", 'Exodus']"
2022-06-09,Anfield,Liverpool,GB,53.4166667,-3.0,Sixty,"['Charlie Watts Tribute', 'Street Fighting Man', '19th Nervous Breakdown', 'Get Off of My Cloud', 'Tumbling Dice', 'I Wanna Be Your Man', 'Out of Time', ""You Can't Always Get What You Want"", 'Living in a Ghost Town', 'Honky Tonk Women', 'You Got the Silver', 'Connection', 'Miss You', 'Midnight Rambler', 'Start Me Up', 'Paint It Black', 'Sympathy for the Devil', ""Jumpin' Jack Flash"", 'Gimme Shelter', ""(I Can't Get No) Satisfaction""]"
